Filename: testdata6.txt
tu: 6
quodcumque: 1
regni: 2
iovemque: 1
concilias: 1
das: 2
epulis: 3
accumbere: 1
nimborumque: 1
facis: 1
tempestatumque: 1
potentem: 1
80: 1
ubi: 11
dicta: 1
cavum: 1
conversa: 1
cuspide: 1
montem: 1
impulit: 1
latus: 2
venti: 2
velut: 1
agmine: 3
facto: 2
qua: 8
data: 4
porta: 1
ruunt: 2
perflant: 1
incubuere: 1
mari: 2
totumque: 1
a: 11
sedibus: 1
imis: 2
eurusque: 1
notusque: 1
creberque: 1
procellis: 1
85: 1
africus: 1
vastos: 1
volvunt: 1
litora: 6
insequitur: 4
clamorque: 1
stridorque: 1
rudentum: 1
eripiunt: 1
subito: 3
nubes: 3
diemque: 1
ex: 5
oculis: 3
nox: 1
incubat: 1
atra: 1
intonuere: 1
poli: 1
crebris: 1
micat: 1
ignibus: 1
aether: 1
90: 1
praesentemque: 1
viris: 6
intentant: 1
mortem: 1
extemplo: 1
aeneae: 6
solvuntur: 1
frigore: 1
membra: 2
ingemit: 1
duplicis: 1
tendens: 1
sidera: 4
palmas: 1
voce: 3
refert: 2
terque: 1
quaterque: 1
beati: 1
quis: 7
ante: 8
ora: 4
patrum: 2
troiae: 8
moenibus: 1
altis: 1
95: 1
contigit: 1
oppetere: 1
fortissime: 1
gentis: 5
tydide: 1
iliacis: 2
occumbere: 1
campis: 1
non: 17
potuisse: 1
tuaque: 1
animam: 1
hanc: 1
effundere: 1
dextra: 3
saevus: 1
aeacidae: 1
telo: 1
iacet: 1
hector: 1
ingens: 5
sarpedon: 1
simois: 1
correpta: 1
undis: 6
100: 1
scuta: 1
galeasque: 1
fortia: 2
volvit: 1
iactanti: 1
stridens: 1
aquilone: 1
procella: 1
velum: 1
adversa: 2
ferit: 2
fluctusque: 1
tollit: 2
franguntur: 1
remi: 1
prora: 1
avertit: 2
dat: 3
cumulo: 1
praeruptus: 1
aquae: 2
mons: 1
105: 1
hi: 1
summo: 5
fluctu: 3
pendent: 1
unda: 3
dehiscens: 1
terram: 2
inter: 6
aperit: 2
furit: 1
aestus: 1
harenis: 1
tris: 3
notus: 2
abreptas: 1
saxa: 7
latentia: 1
torquet—: 1
vocant: 2
itali: 1
mediis: 2
fluctibus: 4
aras—: 1
dorsum: 1
immane: 1
eurus: 1
alto: 4
110: 1
brevia: 1
syrtis: 2
urget: 1
miserabile: 1
visu: 1
inliditque: 1
vadis: 2
aggere: 1
cingit: 1
harenae: 2
unam: 2
lycios: 1
fidumque: 1
vehebat: 1
oronten: 1
ipsius: 1
oculos: 3
vertice: 4
pontus: 2
puppim: 1
excutitur: 1
pronusque: 1
magister: 1
115: 1
volvitur: 1
caput: 3
illam: 1
ter: 3
ibidem: 1
torquet: 1
agens: 2
rapidus: 1
vorat: 1
vortex: 1
adparent: 1
rari: 1
nantes: 1
gurgite: 1
tabulaeque: 1
troia: 3
gaza: 1
undas: 3
validam: 1
ilionei: 1
navem: 2
fortis: 2
achati: 1
120: 1
vectus: 1
abas: 1
grandaevus: 1
aletes: 1
vicit: 1
hiems: 1
laxis: 1
laterum: 2
compagibus: 2
omnes: 4
accipiunt: 2
inimicum: 1
imbrem: 1
rimisque: 1
fatiscunt: 1
interea: 5
misceri: 1
pontum: 1
emissamque: 1
hiemem: 1
sensit: 1
neptunus: 1
125: 1
stagna: 1
refusa: 1
graviter: 1
commotus: 1
prospiciens: 2
summa: 2
placidum: 1
extulit: 1
disiectam: 1
toto: 2
videt: 4
oppressos: 1
troas: 1
caelique: 1
ruina: 1
latuere: 1
doli: 1
fratrem: 1
irae: 1
130: 1
eurum: 1
se: 13
zephyrumque: 1
vocat: 1
dehinc: 2
fatur: 2
tantane: 1
vos: 6
generis: 1
tenuit: 1
fiducia: 1
vestri: 1
caelum: 3
terramque: 1
meo: 1
sine: 2
numine: 3
miscere: 1
tantas: 1
audetis: 1
moles: 1
quos: 5
ego—sed: 1
motos: 1
praestat: 1
componere: 1
135: 1
post: 4
simili: 1
poena: 1
commissa: 1
luetis: 1
maturate: 1
fugam: 3
regique: 1
dicite: 1
vestro: 1
imperium: 4
pelagi: 2
saevumque: 1
tridentem: 1
sorte: 2
datum: 1
tenet: 3
immania: 1
vestras: 2
eure: 1
domos: 1
illa: 3
iactet: 1
aula: 1
140: 1
clauso: 2
ventorum: 1
regnet: 1
sic: 15
ait: 5
dicto: 2
citius: 1
tumida: 1
placat: 1
collectasque: 1
fugat: 1
solemque: 1
reducit: 1
cymothoe: 1
simul: 6
triton: 1
adnixus: 1
detrudunt: 1
navis: 5
scopulo: 1
